t_w	t_dim	d_s	k	seed_j	epoch	acc	delta	prec	rec	f1	ov	ov_delta	p_val	p_ov_val
4000	20	2	0	144000	17	0.8214	0.0066	0.8462	0.7857	0.8148	0.8253	-0.0011	0.9620586760428106	0.6445122449410923
4000	20	3	2	144000	16	0.8214	0.0066	0.8000	0.8571	0.8276	0.8191	-0.0074	0.8246564042042631	0.7344285738279325
4000	20	4	5	144000	11	0.7778	-0.0370	0.9000	0.6429	0.7500	0.8063	-0.0201	0.0031104662310044227	6.8239103686593435e-06
4000	30	0	9	777	17	0.7778	0	0.8889	0.6154	0.7273	0.7908	0	0.0	0.0
4000	30	1	2	7	17	0.7857	0.0079	0.9000	0.6429	0.7500	0.8071	0.0164	0.9999999999999996	0.9999999999999999
4000	30	2	2	777	8	0.7857	0.0079	0.9000	0.6429	0.7500	0.8071	0.0164	0.9749492168242263	0.9990413510031116
4000	30	3	2	7	10	0.8214	0.0437	0.8462	0.7857	0.8148	0.8253	0.0346	0.09574986113273451	0.12287645161506672
4000	30	4	2	7	7	0.7857	0.0079	0.7500	0.8571	0.8000	0.7850	-0.0058	0.9998070088947324	0.9999999999988282
4000	40	0	8	7	9	0.7778	0	0.8889	0.6154	0.7273	0.7908	0	0.0	0.0
4000	40	1	7	7	4	0.7778	0.0000	0.7692	0.7692	0.7692	0.7701	-0.0207	0.8952408596913376	0.03979524141159312
4000	40	2	8	777	16	0.8148	0.0370	0.8333	0.7692	0.8000	0.8120	0.0212	0.2460026476461959	4.780646669559953e-07
4000	40	3	2	777	12	0.7500	-0.0278	0.7059	0.8571	0.7742	0.7542	-0.0365	0.2811377981264172	0.010628785598987816
4000	40	4	6	777	11	0.7037	-0.0741	1.0000	0.4286	0.6000	0.7761	-0.0147	0.01128784500118624	0.15271181291878488
4000	50	0	6	7	11	0.6667	0	1.0000	0.3571	0.5263	0.7434	0	0.0	0.0
4000	50	1	2	7	4	0.7143	0.0476	1.0000	0.4286	0.6000	0.7771	0.0338	0.9999999532675886	0.9999944106716389
4000	50	2	2	7	3	0.7143	0.0476	1.0000	0.4286	0.6000	0.7771	0.0338	0.0013565684995655125	1.547552931423044e-05
4000	50	3	1	777	15	0.8214	0.1548	0.8000	0.8571	0.8276	0.8191	0.0757	0.7130795592908505	0.8978327644582954
4000	50	4	2	7	17	0.8571	0.1905	0.8125	0.9286	0.8667	0.8510	0.1077	0.032247402457728676	2.441926800131838e-08
4500	20	0	6	7	18	0.8519	0	0.8571	0.8571	0.8571	0.8566	0	0.0	0.0
4500	20	1	6	777	6	0.8148	-0.0370	0.8000	0.8571	0.8276	0.8184	-0.0382	1.0	0.9999999999999999
4500	20	2	7	7	7	0.8148	-0.0370	0.9000	0.6923	0.7826	0.8265	-0.0301	0.9999837833618889	0.9999959904606109
4500	20	3	0	777	14	0.7857	-0.0661	0.9000	0.6429	0.7500	0.8071	-0.0495	0.9999999999977472	0.9999999999955111
4500	20	4	6	777	10	0.8519	0.0000	0.8571	0.8571	0.8571	0.8566	0.0000	0.986361413947164	0.7221988326408559
4500	30	0	2	144000	13	0.7857	0	1.0000	0.5714	0.7273	0.8383	0	0.0	0.0
4500	30	1	2	144000	18	0.8214	0.0357	1.0000	0.6429	0.7826	0.8672	0.0289	0.9999926315290814	0.5872035693401517
4500	30	2	7	7	0	0.8519	0.0661	0.8462	0.8462	0.8462	0.8467	0.0084	0.5450504794997287	0.04918822297789837
4500	30	3	2	144000	6	0.7500	-0.0357	1.0000	0.5000	0.6667	0.8083	-0.0300	0.14046785301714737	0.009830502477379714
4500	30	4	2	144000	19	0.7857	0.0000	0.7857	0.7857	0.7857	0.7857	-0.0526	0.009631946351428701	0.0014385892247165129
4500	40	0	2	144000	16	0.7857	0	1.0000	0.5714	0.7273	0.8383	0	0.0	0.0
4500	40	1	7	7	6	0.8148	0.0291	0.7222	1.0000	0.8387	0.8103	-0.0280	0.9989972800196374	0.999997193257807
4500	40	2	7	144000	6	0.7778	-0.0079	1.0000	0.5385	0.7000	0.8255	-0.0128	0.07675629078764687	0.26860098956718614
4500	40	3	7	7	5	0.8889	0.1032	0.8125	1.0000	0.8966	0.8744	0.0361	0.00045829645290181866	0.18226115090600253
4500	40	4	2	144000	12	0.7500	-0.0357	0.8889	0.5714	0.6957	0.7729	-0.0655	0.09280343231200622	0.03855017217114941
4500	50	0	6	777	13	0.7778	0	0.7222	0.9286	0.8125	0.7871	0	0.0	0.0
4500	50	1	2	7	8	0.7857	0.0079	0.7500	0.8571	0.8000	0.7850	-0.0021	0.71263475099845	0.22902216060008862
4500	50	2	7	144000	12	0.8148	0.0370	1.0000	0.6154	0.7619	0.8569	0.0698	0.24609555786491677	0.39458174311426536
4500	50	3	2	7	10	0.7500	-0.0278	1.0000	0.5000	0.6667	0.8083	0.0212	0.9333111515838393	0.11735137827236815
4500	50	4	1	7	19	0.8214	0.0437	0.8000	0.8571	0.8276	0.8191	0.0320	0.0005371834575978709	0.015634769246693173
5000	20	0	6	144000	7	0.8148	0	0.8000	0.8571	0.8276	0.8184	0	0.0	0.0
5000	20	1	7	7	5	0.8148	0.0000	1.0000	0.6154	0.7619	0.8569	0.0385	0.9999999999999991	1.0
5000	20	2	7	7	5	0.8519	0.0370	1.0000	0.6923	0.8182	0.8873	0.0689	0.9893419741711683	0.9909458925182767
5000	20	3	7	144000	5	0.8519	0.0370	0.8000	0.9231	0.8571	0.8412	0.0228	0.2521980392912469	0.49103726045150026
5000	20	4	2	7	14	0.8214	0.0066	0.8462	0.7857	0.8148	0.8253	0.0069	0.7613939083208605	0.7114195437043113
5000	30	0	6	144000	19	0.8519	0	1.0000	0.7143	0.8333	0.8947	0	0.0	0.0
5000	30	1	6	144000	15	0.7407	-0.1111	1.0000	0.5000	0.6667	0.8074	-0.0873	0.6482096466050504	0.5738373491490649
5000	30	2	7	144000	3	0.8889	0.0370	0.9167	0.8462	0.8800	0.8925	-0.0023	0.7976547574387837	0.991000579922256
5000	30	3	2	144000	12	0.8214	-0.0304	1.0000	0.6429	0.7826	0.8672	-0.0275	0.5611760024578478	0.8881325033758158
5000	30	4	9	7	19	0.7778	-0.0741	0.6842	1.0000	0.8125	0.7824	-0.1123	0.9999997911935007	0.9999610257199467
5000	40	0	6	7	17	0.7778	0	1.0000	0.5714	0.7273	0.8375	0	0.0	0.0
5000	40	1	6	7	17	0.7778	0.0000	1.0000	0.5714	0.7273	0.8375	0.0000	0.9254953792587246	0.9999999784712363
5000	40	2	7	7	7	0.8519	0.0741	1.0000	0.6923	0.8182	0.8873	0.0498	0.007363174141328995	0.537371121120694
5000	40	3	7	777	19	0.8148	0.0370	0.9000	0.6923	0.7826	0.8265	-0.0111	0.7561932318457775	0.9917488898029639
5000	40	4	6	7	11	0.8519	0.0741	1.0000	0.7143	0.8333	0.8947	0.0572	0.999999915017395	0.9999959646720774
5000	50	0	2	144000	16	0.7143	0	1.0000	0.4286	0.6000	0.7771	0	0.0	0.0
5000	50	1	7	7	4	0.8148	0.1005	1.0000	0.6154	0.7619	0.8569	0.0798	0.9601048366321754	0.8619526419181666
5000	50	2	2	144000	19	0.8929	0.1786	1.0000	0.7857	0.8800	0.9224	0.1453	0.43361738559453067	0.4023706998055685
5000	50	3	6	7	15	0.8148	0.1005	0.9091	0.7143	0.8000	0.8389	0.0617	0.6936752450117435	0.9469200598161255
5000	50	4	6	7	15	0.7407	0.0265	1.0000	0.5000	0.6667	0.8074	0.0303	9.710009124433304e-05	0.22311786513430806
