t_w	t_dim	d_s	k	seed_j	epoch	acc	delta	prec	rec	f1	ov	ov_delta	p_val	p_ov_val
4500	30	2	7	7	0	0.8519	0.0661	0.8462	0.8462	0.8462	0.8467	0.0084	0.9901118626698052	0.7168592204359617
4500	30	3	7	144000	3	0.8148	0.0291	0.9000	0.6923	0.7826	0.8265	-0.0118	0.0629631858761208	0.005386625943537987
4500	30	4	0	144000	7	0.7857	0.0000	0.7500	0.8571	0.8000	0.7850	-0.0533	0.3864647865772105	0.03825742530155042
4500	40	0	2	144000	16	0.7857	0	1.0000	0.5714	0.7273	0.8383	0	0.0	0.0
4500	40	1	7	7	10	0.8148	0.0291	0.7500	0.9231	0.8276	0.8066	-0.0317	0.9608021149000212	0.9999987688573581
4500	40	2	8	777	17	0.8148	0.0291	0.8333	0.7692	0.8000	0.8120	-0.0263	0.0022555257986045783	0.03082289233470943
4500	40	3	7	7	5	0.8519	0.0661	0.9091	0.7692	0.8333	0.8602	0.0219	0.4191132262940333	0.2931537036470019
4500	40	4	6	7	13	0.8148	0.0291	0.7647	0.9286	0.8387	0.8173	-0.0210	0.0043916936691455405	0.0014724051720830062
4500	50	0	6	777	13	0.7778	0	0.7222	0.9286	0.8125	0.7871	0	0.0	0.0
4500	50	1	2	7	7	0.6786	-0.0992	1.0000	0.3571	0.5263	0.7445	-0.0426	0.9628545238084683	0.214310330629081
4500	50	2	2	144000	16	0.7857	0.0079	0.9000	0.6429	0.7500	0.8071	0.0200	0.06329433008436032	0.05533160034466445
4500	50	3	2	144000	17	0.8571	0.0794	1.0000	0.7143	0.8333	0.8952	0.1081	0.16066328041130468	0.025097873955724364
4500	50	4	1	7	8	0.7857	0.0079	0.8333	0.7143	0.7692	0.7919	0.0048	5.523411995504563e-05	0.06743827541336299
5000	20	0	6	144000	7	0.8148	0	0.8000	0.8571	0.8276	0.8184	0	0.0	0.0
5000	20	1	7	7	14	0.8889	0.0741	0.8571	0.9231	0.8889	0.8799	0.0614	0.9999999999999992	0.9999999999999999
5000	20	2	7	7	2	0.8519	0.0370	1.0000	0.6923	0.8182	0.8873	0.0689	0.9947181768874545	0.988063982859882
5000	20	3	7	144000	12	0.8148	0.0000	0.7500	0.9231	0.8276	0.8066	-0.0118	0.7755366929296063	0.9656567330141556
5000	20	4	6	777	17	0.7778	-0.0370	0.7857	0.7857	0.7857	0.7849	-0.0335	0.9973687193374431	0.9857355701404733
5000	30	0	6	144000	19	0.8519	0	1.0000	0.7143	0.8333	0.8947	0	0.0	0.0
5000	30	1	2	7	13	0.7857	-0.0661	1.0000	0.5714	0.7273	0.8383	-0.0564	0.9931826527028452	0.8929035005888217
